Año,Homicidios,Víctimas Mujeres,Víctimas Hombres,"Por cada 100,000 Habitantes"
2017.0,45.0,20.0,25.0,0.5
2016.0,45.0,25.0,20.0,0.5
2015.0,57.0,30.0,27.0,0.7
2014.0,41.0,24.0,17.0,0.5
2013.0,57.0,32.0,25.0,0.7
2012.0,45.0,17.0,28.0,0.6
2011.0,46.0,23.0,23.0,0.6
2010.0,52.0,26.0,26.0,0.7
2009.0,51.0,27.0,24.0,0.7
2008.0,54.0,25.0,29.0,0.7
2007.0,51.0,26.0,25.0,0.7
2006.0,60.0,38.0,22.0,0.8
2005.0,75.0,38.0,38.0,1.0
2004.0,78.0,38.0,40.0,1.1
2003.0,73.0,39.0,34.0,1.0
2002.0,86.0,49.0,37.0,1.2
2001.0,86.0,37.0,49.0,1.2
2000.0,69.0,39.0,30.0,1.0
