Año,Homicidios,Víctimas Mujeres,Víctimas Hombres,"Por cada 100,000 Habitantes"
2017.0,28.0,13.0,15.0,0.5
2016.0,27.0,11.0,16.0,0.5
2015.0,24.0,14.0,10.0,0.5
2014.0,29.0,13.0,16.0,0.6
2013.0,46.0,20.0,26.0,0.9
2012.0,27.0,9.0,18.0,0.5
2011.0,111.0,52.0,59.0,2.2
2010.0,29.0,15.0,14.0,0.6
2009.0,29.0,12.0,17.0,0.6
2008.0,34.0,10.0,24.0,0.7
2007.0,30.0,17.0,13.0,0.6
2006.0,33.0,21.0,12.0,0.7
2005.0,33.0,16.0,17.0,0.7
2004.0,36.0,12.0,24.0,0.8
2003.0,51.0,24.0,27.0,1.1
2002.0,46.0,15.0,31.0,1.0
2001.0,37.0,15.0,22.0,0.8
2000.0,48.0,22.0,26.0,1.1
