Año,Homicidios,Víctimas Mujeres,Víctimas Hombres,"Por cada 100,000 Habitantes"
2017.0,32079.0,3444.0,28635.0,24.8
2016.0,24559.0,2821.0,21738.0,19.3
2015.0,20762.0,2393.0,18369.0,16.5
2014.0,20010.0,2420.0,17590.0,16.1
2013.0,23063.0,2664.0,20399.0,18.8
2012.0,25967.0,2787.0,23180.0,21.5
2011.0,27213.0,2719.0,24494.0,22.9
2010.0,25757.0,2423.0,23334.0,22.0
2009.0,19803.0,1929.0,17874.0,17.1
2008.0,14006.0,1426.0,12580.0,12.3
2007.0,8867.0,1084.0,7783.0,7.9
2006.0,10452.0,1299.0,9153.0,9.5
2005.0,9921.0,1299.0,8622.0,9.1
2004.0,9329.0,1207.0,8122.0,8.7
2003.0,10087.0,1318.0,8769.0,9.5
2002.0,10088.0,1281.0,8807.0,9.7
2001.0,10285.0,1284.0,9001.0,10.0
2000.0,10737.0,1285.0,9452.0,10.6
